"word","pos"
"arm","VERB"
"around","PREP"
"around","ADV"
"arrangement","NOUN"
"arrange","VERB"
"arrest","VERB"
"arrest","NOUN"
"arrival","NOUN"
"arrive","VERB"
"article","NOUN"
"article","VERB"
"artistic","ADJ"
"artist","NOUN"
"art","NOUN"
"art","VERB"
"aside","ADV"
"aside","NOUN"
"ask","NOUN"
"ask","VERB"
"asleep","ADV"
"asleep","ADJ"
"aspect","NOUN"
"assault","NOUN"
"assault","VERB"
"assert","VERB"
"assessment","NOUN"
"assess","VERB"
"asset","NOUN"
"assignment","NOUN"
"assign","VERB"
"assign","NOUN"
"assistance","NOUN"
"assist","VERB"
"assist","NOUN"
"associate","VERB"
"associate","NOUN"
"associate","ADJ"
"association","NOUN"
"assume","VERB"
"assumption","NOUN"
"assure","VERB"
"as","CONJ"
"as","PREP"
"as","NOUN"
"athlete","NOUN"
"athletic","ADJ"
"atmosphere","NOUN"
"attach","NOUN"
"attach","VERB"
"attack","VERB"
"attack","NOUN"
"attempt","VERB"
"attempt","NOUN"
"attend","VERB"
"attention","NOUN"
"attention","INTER"
"attitude","NOUN"
"attorney","NOUN"
"attractive","ADJ"
"attract","VERB"
"attribute","VERB"
"attribute","NOUN"
"at","NOUN"
"at","PREP"
"audience","NOUN"
"authority","NOUN"
"author","NOUN"
"author","VERB"
"auto","NOUN"
"available","ADJ"
"average","NOUN"
"average","ADJ"
"average","VERB"
"avoid","VERB"
"award","VERB"
"award","NOUN"
"awareness","NOUN"
"aware","ADJ"
"away","ADV"
"away","ADJ"
"away","NOUN"
"away","INTER"
"awful","ADJ"
"awful","ADV"
"baby","NOUN"
"baby","ADJ"
"baby","VERB"
"background","NOUN"
"back","NOUN"
"back","ADJ"
"back","ADV"
"badly","ADV"
"bad","ADJ"
"bad","NOUN"
"bad","ADV"
"bad","VERB"
"bag","NOUN"
"bag","VERB"
"bake","VERB"
"bake","NOUN"
"balance","NOUN"
"balance","VERB"
"ball","NOUN"
"ball","VERB"
"band","NOUN"
"band","VERB"
"bank","NOUN"
"bank","VERB"
"ban","NOUN"
"ban","VERB"
"barely","ADV"
"barrel","NOUN"
"barrel","VERB"
"barrier","NOUN"
"bar","NOUN"
"bar","ADJ"
"bar","VERB"
"bar","PREP"
"bar","INTER"
"baseball","NOUN"
"base","NOUN"
"base","VERB"
"base","ADJ"
"basically","ADV"
"basic","ADJ"
"basic","NOUN"
"basis","NOUN"
"basketball","NOUN"
"basket","NOUN"
"bathroom","NOUN"
"battery","NOUN"
"battle","NOUN"
"battle","VERB"
"beach","NOUN"
"beach","VERB"
"bean","NOUN"
"bean","VERB"
"bear","NOUN"
"bear","VERB"
"beat","VERB"
"beat","NOUN"
"beautiful","ADJ"
"beauty","NOUN"
"beauty","INTER"
"because","CONJ"
"become","VERB"
"bedroom","NOUN"
"bed","NOUN"
"bed","VERB"
"beer","NOUN"
"before","CONJ"
"before","PREP"
"before","ADV"
"beginning","NOUN"
"begin","NOUN"
"begin","VERB"
"behind","PREP"
"behind","ADV"
"behind","NOUN"
"being","NOUN"
"belief","NOUN"
"believe","VERB"
"bell","NOUN"
"bell","VERB"
"belong","VERB"
"below","PREP"
"below","ADV"
"belt","NOUN"
"belt","VERB"
"bench","NOUN"
"bench","VERB"
"bend","NOUN"
"bend","VERB"
"beneath","PREP"
"beneath","ADV"
"benefit","NOUN"
"besides","PREP"
"besides","ADV"
"beside","PREP"
"beside","ADV"
"best","ADJ"
"best","ADV"
"best","NOUN"
"best","VERB"
"better","ADJ"
"better","ADV"
"better","NOUN"
"better","VERB"
"between","PREP"
"between","ADV"
"bet","NOUN"
"bet","VERB"
"beyond","PREP"
"beyond","ADV"
"beyond","NOUN"
"be","NOUN"
"be","VERB"
"big","ADJ"
"big","ADV"
"bike","NOUN"
"bike","VERB"
"billion","NOUN"
"billion","DEFAR"
"bill","NOUN"
"bill","VERB"
"bind","VERB"
"bind","NOUN"
"biological","ADJ"
"biological","NOUN"
"bird","NOUN"
"birthday","NOUN"
"birth","NOUN"
"birth","VERB"
"bite","VERB"
"bite","NOUN"
"bit","NOUN"
"bit","VERB"
"black","ADJ"
"black","NOUN"
"black","VERB"
"blade","NOUN"
"blame","NOUN"
"blame","VERB"
"blanket","NOUN"
"blanket","VERB"
"blind","ADJ"
"blind","ADV"
"blind","VERB"
"blind","NOUN"
"block","NOUN"
"block","VERB"
"blood","NOUN"
"blood","VERB"
"blow","NOUN"
"blow","VERB"
"blue","NOUN"
"board","NOUN"
"board","VERB"
"boat","NOUN"
"boat","VERB"
"body","NOUN"
"body","VERB"
"bomb","ADJ"
"bomb","NOUN"
"bomb","VERB"
"bond","NOUN"
"bond","VERB"
"bone","NOUN"
"bone","VERB"
"book","NOUN"
"book","VERB"
"boom","VERB"
"boom","NOUN"
"boot","NOUN"
"boot","VERB"
"border","NOUN"
"border","VERB"
"born","NOUN"
"born","VERB"
"borrow","NOUN"
"borrow","VERB"
"boss","NOUN"
"boss","VERB"
"boss","ADJ"
"bother","VERB"
"bother","NOUN"
"bother","INTER"
"both","DEFAR"
"both","CONJ"
"bottle","NOUN"
"bottle","VERB"
"bottom","NOUN"
"bottom","ADJ"
"bottom","VERB"
"boundary","NOUN"
"bowl","NOUN"
"bowl","VERB"
"box","NOUN"
"box","VERB"
"boyfriend","NOUN"
"boy","NOUN"
"boy","INTER"
"brain","NOUN"
"brain","VERB"
"branch","NOUN"
"branch","VERB"
"brand","NOUN"
"brand","VERB"
"bread","NOUN"
"bread","VERB"
"breakfast","NOUN"
"breakfast","VERB"
"break","VERB"
"break","NOUN"
"break","INTER"
"breast","NOUN"
"breast","VERB"
"breathe","VERB"
"breath","NOUN"
"brick","NOUN"
"brick","VERB"
"bridge","NOUN"
"bridge","VERB"
"briefly","ADV"
"brief","ADJ"
"brief","NOUN"
"brief","VERB"
"bright","ADJ"
"bright","NOUN"
"bright","ADV"
"brilliant","ADJ"
"brilliant","NOUN"
"bring","NOUN"
"bring","VERB"
"broad","ADJ"
"broad","NOUN"
"broad","ADV"
"broken","VERB"
"broken","ADJ"
"brother","NOUN"
"brother","INTER"
"brown","NOUN"
"brown","ADJ"
"brown","VERB"
"brush","NOUN"
"brush","VERB"
"buck","NOUN"
"buck","VERB"
"budget","NOUN"
"budget","VERB"
"building","NOUN"
"build","VERB"
"build","NOUN"
"bullet","NOUN"
"bunch","NOUN"
"bunch","VERB"
"burden","NOUN"
"burden","VERB"
"burn","NOUN"
"burn","VERB"
"bury","NOUN"
"bury","VERB"
"business","NOUN"
"busy","ADJ"
"busy","VERB"
"bus","NOUN"
"bus","VERB"
"butter","NOUN"
"butter","VERB"
"button","NOUN"
"button","VERB"
"but","CONJ"
"but","PREP"
"but","ADV"
"but","NOUN"
"buyer","NOUN"
"buy","VERB"
"buy","NOUN"
"by","PREP"
"by","ADV"
"by","NOUN"
"cabinet","NOUN"
"cabin","NOUN"
"cabin","VERB"
"cable","NOUN"
"cable","VERB"
"cake","NOUN"
"cake","VERB"
"calculate","VERB"
"call","NOUN"
"call","VERB"
"camera","NOUN"
"campaign","NOUN"
"campaign","VERB"
"campus","NOUN"
"camp","NOUN"
"camp","VERB"
"camp","ADJ"
"cancer","NOUN"
"candidate","NOUN"
"can","NOUN"
"can","VERB"
"capability","NOUN"
"capable","ADJ"
"capacity","NOUN"
"captain","NOUN"
"captain","VERB"
"capture","VERB"
"capture","NOUN"
"cap","NOUN"
"cap","VERB"
"carbon","NOUN"
"card","NOUN"
"card","VERB"
"career","NOUN"
"career","VERB"
"carefully","ADV"
"careful","ADJ"
"care","NOUN"
"care","VERB"
"carrier","NOUN"
"carry","NOUN"
"carry","VERB"
"car","NOUN"
"case","NOUN"
"case","VERB"
"cash","NOUN"
"cash","VERB"
"cast","VERB"
"cast","NOUN"
"catch","VERB"
"catch","NOUN"
"category","NOUN"
"cat","NOUN"
"cat","VERB"
"cause","NOUN"
"cause","VERB"
"ceiling","NOUN"
"celebrate","VERB"
"celebration","NOUN"
"celebrity","NOUN"
"cell","NOUN"
"central","ADJ"
"century","NOUN"
"ceremony","NOUN"
"certainly","ADV"
"certain","ADV"
"certain","DEFAR"
"chain","NOUN"
"chain","VERB"
"chairman","NOUN"
"chair","NOUN"
"chair","VERB"
"challenge","VERB"
"challenge","NOUN"
"chamber","NOUN"
"chamber","VERB"
"championship","NOUN"
"champion","NOUN"
"champion","ADJ"
"champion","ADV"
"champion","VERB"
"chance","NOUN"
"chance","VERB"
"change","VERB"
"change","NOUN"
"changing","VERB"
"channel","NOUN"
"channel","VERB"
"chapter","NOUN"
"chapter","VERB"
"character","NOUN"
"character","VERB"
"charge","VERB"
"charge","NOUN"
"charity","NOUN"
"chart","NOUN"
"chart","VERB"
"chase","NOUN"
"chase","VERB"
"cheap","ADJ"
"cheap","NOUN"
"cheap","ADV"
"check","VERB"
"check","NOUN"
"check","INTER"
"cheek","NOUN"
"cheek","VERB"
"cheese","NOUN"
"cheese","VERB"
"chef","NOUN"
"chest","NOUN"
"chief","NOUN"
"chief","ADJ"
"chief","ADV"
"childhood","NOUN"
"child","NOUN"
"chip","NOUN"
"chip","VERB"
"chocolate","NOUN"
"cholesterol","NOUN"
"choose","VERB"
"church","NOUN"
"church","VERB"
"cigarette","NOUN"
"circle","NOUN"
"circumstance","NOUN"
"circumstance","VERB"
"cite","VERB"
"citizen","NOUN"
"city","NOUN"
"civilian","NOUN"
"civil","ADJ"
"claim","VERB"
"claim","NOUN"
"classic","ADJ"
"classic","NOUN"
"classroom","NOUN"
"class","NOUN"
"class","VERB"
"clean","ADJ"
"clean","VERB"
"clean","ADV"
"clean","NOUN"
"clearly","ADV"
"clear","ADJ"
"clear","VERB"
"clear","ADV"
"clear","NOUN"
"client","NOUN"
"climate","NOUN"
"climb","VERB"
"climb","NOUN"
"clinical","ADJ"
"clinic","NOUN"
"clock","NOUN"
"clock","VERB"
"closely","ADV"
"closer","NOUN"
"closer","VERB"
"close","NOUN"
"close","VERB"
"close","ADJ"
"close","ADV"
"clothing","NOUN"
"cloud","NOUN"
"cloud","VERB"
"club","NOUN"
"club","VERB"
"clue","NOUN"
"clue","VERB"
"cluster","NOUN"
"cluster","VERB"
"coach","NOUN"
"coach","VERB"
"coalition","NOUN"
"coal","NOUN"
"coal","VERB"
"coast","NOUN"
"coast","VERB"
"coat","NOUN"
"coat","VERB"
"code","NOUN"
"code","VERB"
"coffee","NOUN"
"cognitive","ADJ"
"cold","ADJ"
"cold","NOUN"
"cold","ADV"
"collapse","VERB"
"collapse","NOUN"
"colleague","NOUN"
"collection","NOUN"
"collective","ADJ"
"collective","NOUN"
"collect","VERB"
"collect","ADV"
"collect","ADJ"
"collect","NOUN"
"college","NOUN"
"colonial","ADJ"
"colonial","NOUN"
"column","NOUN"
"combination","NOUN"
"combine","VERB"
"combine","NOUN"
"comedy","NOUN"
"come","VERB"
"come","INTER"
"comfortable","ADJ"
"comfort","NOUN"
"comfort","VERB"
"commander","NOUN"
"command","VERB"
"command","NOUN"
"comment","NOUN"
"comment","VERB"
"commercial","ADJ"
"commercial","NOUN"
"commission","NOUN"
"commission","VERB"
"commitment","NOUN"
"committee","NOUN"
"commit","VERB"
"common","ADJ"
"common","NOUN"
"communicate","VERB"
"communication","NOUN"
"community","NOUN"
"company","NOUN"
"company","VERB"
"compare","VERB"
"compare","NOUN"
"comparison","NOUN"
"compete","VERB"
"competition","NOUN"
"competitive","ADJ"
"competitor","NOUN"
"complaint","NOUN"
"complain","VERB"
"completely","ADV"
"complete","ADJ"
"complete","VERB"
"complex","ADJ"
"complex","NOUN"
"complicated","ADJ"
"compose","VERB"
"composition","NOUN"
"comprehensive","ADJ"
"comprehensive","NOUN"
"computer","NOUN"
"concentrate","VERB"
"concentrate","NOUN"
"concentration","NOUN"
"concept","NOUN"
"concerned","ADJ"
"concern","VERB"
"concern","NOUN"
"concert","NOUN"
"concert","VERB"
"conclude","VERB"
"conclusion","NOUN"
"concrete","NOUN"
"concrete","ADJ"
"concrete","VERB"
"condition","NOUN"
"condition","VERB"
"conduct","NOUN"
"conduct","VERB"
"conference","NOUN"
"confidence","NOUN"
"confident","ADJ"
"confident","NOUN"
"confirm","VERB"
"conflict","NOUN"
"conflict","VERB"
"confront","VERB"
"confusion","NOUN"
"congressional","ADJ"
"connection","NOUN"
"connect","VERB"
"consciousness","NOUN"
"consensus","NOUN"
"consequence","NOUN"
"conservative","ADJ"
"conservative","NOUN"
"considerable","ADJ"
"consideration","NOUN"
"consider","VERB"
"consistent","ADJ"
"consist","VERB"
"constantly","ADV"
"constant","ADJ"
"constant","NOUN"
"constitute","VERB"
"constitutional","ADJ"
"constitutional","NOUN"
"construction","NOUN"
"construct","VERB"
"construct","NOUN"
"consultant","NOUN"
"consumer","NOUN"
"consume","VERB"
"consumption","NOUN"
"contact","NOUN"
"contact","VERB"
"contact","INTER"
"container","NOUN"
"contain","VERB"
"contemporary","ADJ"
"contemporary","NOUN"
"content","NOUN"
"content","VERB"
"content","INTER"
"contest","NOUN"
"contest","VERB"
"context","NOUN"
"continued","VERB"
"continue","VERB"
"contract","VERB"
"contract","NOUN"
"contrast","VERB"
"contrast","NOUN"
"contribute","VERB"
"contribution","NOUN"
"control","VERB"
"control","NOUN"
"controversial","ADJ"
"controversy","NOUN"
"conventional","ADJ"
"conventional","NOUN"
"convention","NOUN"
"conversation","NOUN"
"convert","VERB"
"convert","NOUN"
"conviction","NOUN"
"convince","VERB"
"cook","NOUN"
"cook","VERB"
"cool","ADJ"
"cool","ADV"
"cool","NOUN"
"cool","VERB"
"cooperation","NOUN"
"cope","VERB"
"cope","NOUN"
"copy","NOUN"
"copy","VERB"
"cop","NOUN"
"cop","VERB"
"core","NOUN"
"core","VERB"
"corner","NOUN"
"corner","VERB"
"corn","NOUN"
"corn","VERB"
"corporate","ADJ"
"corporation","NOUN"
"correct","VERB"
"correct","ADJ"
"cost","NOUN"
"cost","VERB"
"cotton","NOUN"
"couch","NOUN"
"couch","VERB"
"could","VERB"
"council","NOUN"
"counter","NOUN"
"counter","ADV"
"counter","ADJ"
"counter","VERB"
"country","NOUN"
"count","VERB"
"count","NOUN"
"couple","NOUN"
"couple","PRO"
"couple","VERB"
"courage","NOUN"
"course","NOUN"
"course","VERB"
"court","NOUN"
"court","VERB"
"cousin","NOUN"
"cousin","ADV"
"coverage","NOUN"
"cover","VERB"
"cover","NOUN"
"cow","NOUN"
"cow","VERB"
"crack","VERB"
"crack","NOUN"
"crack","ADJ"
"craft","NOUN"
"craft","VERB"
"crash","VERB"
"crash","NOUN"
"crazy","ADJ"
"cream","NOUN"
"cream","VERB"
"create","VERB"
"creation","NOUN"
"creative","ADJ"
"creature","NOUN"
"credit","NOUN"
"credit","VERB"
"crew","NOUN"
"crew","VERB"
"crime","NOUN"
"crisis","NOUN"
"critical","ADJ"
"criticism","NOUN"
"critic","NOUN"
"crop","NOUN"
"crop","VERB"
"cross","NOUN"
"cross","VERB"
"cross","ADJ"
"crowd","NOUN"
"crowd","VERB"
"crucial","ADJ"
"cry","VERB"
"cry","NOUN"
"cultural","ADJ"
"culture","NOUN"
"culture","VERB"
"cup","NOUN"
"cup","VERB"
"curious","ADJ"
"currently","ADV"
"current","ADJ"
"current","NOUN"
"curriculum","NOUN"
"customer","NOUN"
"cut","NOUN"
"cut","VERB"
"cut","ADJ"
"cycle","NOUN"
"cycle","VERB"
"dad","NOUN"
"daily","ADJ"
"daily","NOUN"
"damage","NOUN"
"damage","VERB"
"dance","VERB"
"dance","NOUN"
"dangerous","ADJ"
"danger","NOUN"
"dare","NOUN"
"dare","VERB"
"darkness","NOUN"
"dark","ADJ"
"dark","NOUN"
"dark","VERB"
"data","NOUN"
"date","NOUN"
"date","VERB"
"daughter","NOUN"
"day","NOUN"
"dead","ADJ"
"dead","NOUN"
"dead","ADV"
"dealer","NOUN"
"deal","VERB"
"deal","NOUN"
"deal","ADJ"
"dear","ADJ"
"dear","INTER"
"dear","NOUN"
"dear","ADV"
"death","NOUN"
"debate","NOUN"
"debate","VERB"
"debt","NOUN"
"decade","NOUN"
"decide","VERB"
"decision","NOUN"
"deck","NOUN"
"deck","VERB"
"declare","VERB"
"decline","VERB"
"decline","NOUN"
"decrease","VERB"
"decrease","NOUN"
"deeply","ADV"
"deep","ADJ"
"deep","NOUN"
"deep","ADV"
"deer","NOUN"
"defeat","VERB"
"defeat","NOUN"
"defend","VERB"
"defensive","ADJ"
"defensive","NOUN"
"deficit","NOUN"
"define","VERB"
"definitely","ADV"
"definition","NOUN"
"delay","VERB"
"delay","NOUN"
"delivery","NOUN"
"deliver","VERB"
"demand","VERB"
"demand","NOUN"
"democracy","NOUN"
"democratic","ADJ"
"demonstrate","VERB"
"demonstration","NOUN"
"deny","NOUN"
"deny","VERB"
"department","NOUN"
"dependent","ADJ"
"dependent","NOUN"
"depend","VERB"
"depict","VERB"
"depression","NOUN"
"depth","NOUN"
"deputy","NOUN"
"derive","VERB"
"describe","VERB"
"description","NOUN"
"desert","NOUN"
"desert","VERB"
"deserve","VERB"
"designer","NOUN"
"design","VERB"
"design","NOUN"
"desire","VERB"
"desire","NOUN"
"desk","NOUN"
"desperate","ADJ"
"despite","PREP"
"despite","NOUN"
"despite","VERB"
"destroy","VERB"
"destruction","NOUN"
"detailed","ADJ"
"detail","NOUN"
"detail","VERB"
"detect","VERB"
"determine","VERB"
"developing","VERB"
"development","NOUN"
"develop","VERB"
"device","NOUN"
"devote","VERB"
"dialogue","NOUN"
"dialogue","VERB"
"diet","NOUN"
"diet","VERB"
"die","VERB"
"die","NOUN"
"difference","NOUN"
"difference","VERB"
"differently","ADV"
"different","ADJ"
"differ","VERB"
"difficulty","NOUN"
"difficult","ADJ"
"digital","ADJ"
"digital","NOUN"
"dig","VERB"
"dig","NOUN"
"dimension","NOUN"
"dimension","VERB"
"dining","VERB"
"dinner","NOUN"
"direction","NOUN"
"directly","ADV"
"directly","CONJ"
"director","NOUN"
"direct","VERB"
"direct","ADJ"
"direct","ADV"
"dirty","ADJ"
"dirty","VERB"
"dirt","NOUN"
"disability","NOUN"
"disagree","VERB"
"disappear","VERB"
"disaster","NOUN"
"discipline","NOUN"
"discipline","VERB"
"discourse","NOUN"
"discourse","VERB"
"discovery","NOUN"
"discover","VERB"
"discrimination","NOUN"
"discussion","NOUN"
"discuss","VERB"
"disease","NOUN"
"dish","NOUN"
"dish","VERB"
"dismiss","VERB"
"disorder","NOUN"
"disorder","VERB"
"display","VERB"
"display","NOUN"
"dispute","VERB"
"dispute","NOUN"
"distance","NOUN"
"distance","VERB"
"distant","ADJ"
"distinction","NOUN"
"distinct","ADJ"
"distinguish","VERB"
"distribute","VERB"
"distribution","NOUN"
"district","NOUN"
"district","VERB"
"diverse","ADJ"
"diversity","NOUN"
"divide","VERB"
"divide","NOUN"
"division","NOUN"
"divorce","NOUN"
"divorce","VERB"
"doctor","NOUN"
"doctor","VERB"
"document","NOUN"
"document","VERB"
"dog","NOUN"
"dog","VERB"
"domestic","ADJ"
"domestic","NOUN"
"dominant","ADJ"
"dominant","NOUN"
"dominate","VERB"
"door","NOUN"
"double","ADJ"
"double","NOUN"
"double","VERB"
"double","ADV"
"doubt","NOUN"
"doubt","VERB"
"down","NOUN"
"down","PREP"
"down","ADV"
"down","VERB"
"dozen","DEFAR"
"dozen","NOUN"
"do","NOUN"
"do","VERB"
"draft","NOUN"
"draft","VERB"
"drag","NOUN"
"drag","VERB"
"dramatically","ADV"
"dramatic","ADJ"
"drama","NOUN"
"drawing","NOUN"
"draw","VERB"
"draw","NOUN"
"dream","NOUN"
"dream","VERB"
"dress","VERB"
"dress","NOUN"
"drink","VERB"
"drink","NOUN"
"driver","NOUN"
"drive","VERB"
"drive","NOUN"
"drop","NOUN"
"drop","VERB"
"drug","NOUN"
"drug","VERB"
"dry","ADJ"
"dry","VERB"
"dry","NOUN"
"dry","ADV"
"due","NOUN"
"due","ADV"
"during","PREP"
"dust","NOUN"
"dust","VERB"
"duty","NOUN"
"each","DEFAR"
"each","ADV"
"eager","NOUN"
"early","ADJ"
"early","ADV"
"early","NOUN"
"earn","VERB"
"earth","NOUN"
"earth","VERB"
"ear","NOUN"
"ear","VERB"
"ease","NOUN"
"ease","VERB"
"easily","ADV"
"eastern","ADJ"
"east","NOUN"
"east","ADJ"
"east","ADV"
"easy","ADJ"
"easy","ADV"
"easy","VERB"
"eat","VERB"
"economics","NOUN"
"economic","ADJ"
"economist","NOUN"
"economy","NOUN"
"edge","NOUN"
"edge","VERB"
"edition","NOUN"
"editor","NOUN"
"educate","VERB"
"educational","ADJ"
"education","NOUN"
"educator","NOUN"
"effectively","ADV"
"effective","ADJ"
"effect","NOUN"
"effect","VERB"
"efficiency","NOUN"
"efficient","ADJ"
"effort","NOUN"
"egg","NOUN"
"egg","VERB"
"eight","NOUN"
"eight","DEFAR"
"either","DEFAR"
"either","CONJ"
"either","ADV"
"elderly","ADJ"
"election","NOUN"
"electricity","NOUN"
"electric","ADJ"
"electric","NOUN"
"electronic","ADJ"
"elect","VERB"
"elect","ADJ"
"elementary","ADJ"
"element","NOUN"
"eliminate","VERB"
"elsewhere","ADV"
"else","DEFAR"
"else","ADV"
"else","NOUN"
"embrace","VERB"
"embrace","NOUN"
"emergency","NOUN"
"emerge","VERB"
"emission","NOUN"
"emotional","ADJ"
"emotion","NOUN"
"emphasis","NOUN"
"employee","NOUN"
"employer","NOUN"
"employment","NOUN"
"employ","VERB"
"employ","NOUN"
"empty","ADJ"
"empty","VERB"
"enable","VERB"
"encounter","VERB"
"encounter","NOUN"
"encourage","VERB"
"end","NOUN"
"end","VERB"
"enemy","NOUN"
"energy","NOUN"
"enforcement","NOUN"
"engage","VERB"
"engineering","NOUN"
"engineer","NOUN"
"engineer","VERB"
"engine","NOUN"
"enhance","VERB"
"enjoy","VERB"
"enormous","ADJ"
"enough","DEFAR"
"enough","ADV"
"ensure","VERB"
"ensure","NOUN"
"enterprise","NOUN"
"entertainment","NOUN"
"enter","VERB"
"entirely","ADV"
"entire","ADJ"
"entire","NOUN"
"entrance","NOUN"
"entrance","VERB"
"entry","NOUN"
"environmental","ADJ"
"environment","NOUN"
"episode","NOUN"
"equally","ADV"
"equal","ADJ"
"equal","NOUN"
"equal","VERB"
"equipment","NOUN"
"era","NOUN"
"error","NOUN"
"escape","VERB"
"escape","NOUN"
"especially","ADV"
"essay","NOUN"
"essay","VERB"
"essentially","ADV"
"essential","ADJ"
"essential","NOUN"
"establishment","NOUN"
"establish","VERB"
"estate","NOUN"
"estimate","VERB"
"estimate","NOUN"
"ethics","NOUN"
"ethnic","ADJ"
"evaluate","VERB"
"evaluation","NOUN"
"evening","NOUN"
"eventually","ADV"
"event","NOUN"
"even","ADJ"
"even","ADV"
"even","NOUN"
"everybody","PRO"
"everyday","ADJ"
"everyone","PRO"
"everything","PRO"
"everywhere","ADV"
"every","DEFAR"
"ever","ADV"
"evidence","NOUN"
"evidence","VERB"
"evolution","NOUN"
"evolve","VERB"
"exactly","ADV"
"exactly","INTER"
"exact","ADJ"
"exact","VERB"
"examination","NOUN"
"examine","VERB"
"example","NOUN"
"example","VERB"
"exceed","VERB"
"excellent","ADJ"
"exception","NOUN"
"except","PREP"
"except","CONJ"
"except","VERB"
"exchange","VERB"
"exchange","NOUN"
"exciting","ADJ"
"exercise","VERB"
"exercise","NOUN"
"exhibition","NOUN"
"exhibit","VERB"
"exhibit","NOUN"
"existence","NOUN"
"exist","VERB"
"expand","VERB"
"expansion","NOUN"
"expectation","NOUN"
"expect","VERB"
"expense","NOUN"
"expense","VERB"
"expensive","ADJ"
"experience","NOUN"
"experience","VERB"
"experiment","NOUN"
"experiment","VERB"
"explain","VERB"
"explanation","NOUN"
"explode","VERB"
"explore","VERB"
"explosion","NOUN"
"expose","VERB"
"exposure","NOUN"
"expression","NOUN"
"express","VERB"
"express","ADJ"
