title,lyrics
Weird Fishes/Arpeggi,"In the deepest ocean. The bottom of the sea. Your eyes. They turn me. Why should I stay here?. Why should I stay?. I'd be crazy not to follow. Follow where you lead. Your eyes. They turn me. Turn me on to phantoms (Way out). I follow to the edge (Way Out). Of the earth (Way out). And fall off. Yeah, everybody leaves (Way out). If they get the chance (Way out). And this (Way out). Is my chance. I get eaten by the worms. And weird fishes. Picked over by the worms. And weird fishes. Weird fishes. Weird fishes. Yeah, I.... I'll hit the bottom. Hit the bottom and escape. Escape. And I.... I'll hit the bottom. Hit the bottom and escape. Escape"
High and Dry,"Two jumps in a week, I bet you. Think that's pretty clever, don't you, boy. Flying on your motorcycle. Watching all the ground beneath you drop. You'd kill yourself for recognition. Kill yourself to never, ever stop. You broke another mirror. You're turning into something you are not. Don't leave me high. Don't leave me dry. Don't leave me high. Don't leave me dry. Drying up in conversation. You will be the one who cannot talk. All your insides fall to pieces. You just sit there wishing you could still make love. They're the ones who'll hate you. When you think you've got the world all sussed out. They're the ones who'll spit at you. You will be the one screaming out. Don't leave me high. Don't leave me dry. Don't leave me high. Don't leave me dry. Oh, it's the best thing that you've ever had. The best thing that you've ever, ever had. It's the best thing that you've ever had. The best thing you've had has gone away. So don't leave me high. Don't leave me dry. Don't leave me high. Don't leave me dry. Don't leave me high. Don't leave me high. Don't leave me dry"
Let Down,"Transport, motorways and tramlines. Starting and then stopping. Taking off and landing. The emptiest of feelings. Disappointed people. Clinging on to bottles. And when it comes it's so, so disappointing. Let down and hanging around. Crushed like a bug in the ground. Let down and hanging around. Shell smashed, juices flowing. Wings twitch, legs are going. Don't get sentimental. It always ends up drivel. One day I am gonna grow wings. A chemical reaction. Hysterical and useless. Hysterical and. Let down and hanging around. Crushed like a bug in the ground. Let down and hanging around. Let down again. Let down again. Let down again. You know, you know where you are with. You know where you are with. Floor collapsing. Floating, bouncing back. And one day. I am gonna grow wings. A chemical reaction. (You know where you are). Hysterical and useless. (You know where you are). Hysterical and. (You know where you are). Let down and hanging around. Crushed like a bug in the ground. Let down and hanging around"
Nude,"Don't get any big ideas. They're not gonna happen. You paint yourself white. And fill up with noise. But there'll be something missing. Now that you've found it, it's gone. Now that you feel it, you don't. You've gone off the rails. So don't get any big ideas. They're not gonna happen. You'll go to hell for what your dirty mind is thinking"
Burn the Witch,"Stay in the shadows. Cheer at the gallows. This is a round-up. This is a low-flying panic attack. Sing the song on the jukebox that goes. Burn the witch. Burn the witch. We know where you live. Red crosses on wooden doors. If you float, you burn. Loose talk around tables. Abandon all reason. Avoid all eye contact. Do not react. Shoot the messengers. This is a low-flying panic attack. Sing the song of sixpence that goes. Burn the witch. Burn the witch. We know where you live. We know where you live"
Everything in Its Right Place,"(Kid A, Kid A). (Kid A, Kid A). Everything. Everything. Everything. Everything. In its right place. In its right place. In its right place. In its right place. Yesterday I woke up sucking a lemon. Yesterday I woke up sucking a lemon. Yesterday I woke up sucking a lemon. Yesterday I woke up sucking a lemon. Everything. Everything. Everything. In its right place. In its right place. In its right place. Right place. There are two colours in my head. There are two colours in my head. What, what is that you tried to say?. What, what was that you tried to say?. Tried to say, tried to say. Tried to say, tried to say. Everything. Everything. Everything. Everything"
Decks Dark,"Then into your life, there comes a darkness. There's a spacecraft blocking out the sky. And there's nowhere to hide. You run to the back and you cover your ears. But it's the loudest sound you've ever heard. And all we trapped rag doll cloth people. We are helpless to resist. Into our darkest hour. But it was just a laugh, just a laugh. Just a laugh, just a laugh. Even at this angle. And so we crumble. A ten ton head, made of wet sand. Oh, this dread circumference. You've gotta be kidding me. The grass grows over me. Your face in the glass, in the glass. It was just a laugh, just a laugh. It's whatever you say it is. In split infinity. Then into your life, there comes a darkness. And a spacecraft blocking out the sky. And there's nowhere to hide. You run to the back and you cover your ears. But it's the loudest sound you've ever heard. Into your darkest hour. When you've had enough of me. When you've had enough of me. Sweet darling. When you've had enough of me. When you've had enough of me. Sweet darling. Sweet times. Sweet darling. Sweet times"
Reckoner,Reckoner. Can't take it with you. Dancing for your pleasure. You are not to blame for. Bittersweet distractors. Dare not speak its name. Dedicated to all hu–. All human beings. Because we separate. Like ripples on a blank shore. Because we separate (In rainbows). Like ripples on a blank shore (In rainbows). Reckoner. Take me with you. Dedicated to all hu–. All human beings
Idioteque,"Who's in the bunker? Who's in the bunker?. Women and children first, and the children first, and the children. I'll laugh until my head comes off. I'll swallow until I burst, until I burst, until I. Who's in the bunker? Who's in the bunker?. I have seen too much, you haven't seen enough, you haven't seen it. I'll laugh until my head comes off. Women and children first, and children first, and children. Here I'm alive. Everything all of the time. Here I'm alive. Everything all of the time. Ice Age coming, Ice Age coming. Let me hear both sides, let me hear both sides, let me hear both. Ice Age coming, Ice Age coming. Throw him in the fire, throw him in the fire, throw him on the. We're not scaremongering. This is really happening, happening. We're not scaremongering. This is really happening, happening. Mobiles skwerking, mobiles chirping. Take the money and run, take the money and run, take the money. Here I'm alive. Everything all of the time. Here I'm alive. Everything all of the time. Here I'm alive. Everything all of the time. Here I'm alive. Everything all of the time. (-n first) (And the childre-) (-n first) (And the childre-). (-n first) (And the childre-) (-n first) (And the ch-) (first). (-n first) (And the childre-) (-n first) (And the childre-). (-n first) (And the childre-) (-n first) (And the ch-) (first). (-n first) (And the childre-) (-n first) (And the childre-). (-n first) (And the childre-) (-n first) (And the ch-) (first). (-n first) (And the childre-) (-n first) (And the childre-)"
Jigsaw Falling Into Place,"Just as you take my hand. Just as you write my number down. Just as the drinks arrive. Just as they play your favourite song. As your bad day disappears. No longer wound up like a spring. Before you had too much. Come back in focus again. The walls abandon shape. They've got a Cheshire cat grin. All blurring into one. This place is on a mission. Before the night owl. Before the animal noises. Closed circuit cameras. Before you're comatose. Before you run away from me. Before you're lost between the notes. The beat goes 'round and 'round. The beat goes 'round and 'round. I never really got there. I just pretended that I had. Words are blunt instruments. Words are sawn-off shotguns. Come on and let it out. Come on and let it out. Come on and let it out. Come on and let it out. Before you run away from me. Before you're lost between the notes. Just as you take the mic. Just as you dance, dance, dance. Jigsaw falling into place. So there is nothing to explain. You eye each other as you pass. She looks back, you look back. Not just once, not just twice. Wish away the nightmare. Wish away the nightmare. You've got the light, you can feel it on your back. A light, you can feel it on your back. Your jigsaw falling into place"
Fitter Happier,"Fitter, happier, more productive. Comfortable (Not drinking too much). Regular exercise at the gym (Three days a week). Getting on better with your associate employee contemporaries. At ease. Eating well (No more microwave dinners and saturated fats). A patient, better driver. A safer car (Baby smiling in back seat). Sleeping well (No bad dreams). No paranoia. Careful to all animals (Never washing spiders down the plughole). Keep in contact with old friends (Enjoy a drink now and then). Will frequently check credit at (Moral) bank (hole in wall). Favours for favours. Fond but not in love. Charity standing orders. On Sundays ring road supermarket. (No killing moths or putting boiling water on the ants). Car wash (Also on Sundays). No longer afraid of the dark. Or midday shadows. Nothing so ridiculously teenage and desperate. Nothing so childish. At a better pace. Slower and more calculated. No chance of escape. Now self-employed. Concerned (But powerless). An empowered and informed member of society (Pragmatism not idealism). Will not cry in public. Less chance of illness. Tires that grip in the wet (Shot of baby strapped in back seat). A good memory. Still cries at a good film. Still kisses with saliva. No longer empty and frantic. Like a cat. Tied to a stick. That's driven into. Frozen winter shit (The ability to laugh at weakness). Calm. Fitter, healthier and more productive. A pig. In a cage. On antibiotics"
Airbag,"In the next world war. In a jackknifed juggernaut. I am born again. In the neon sign. Scrolling up and down. I am born again. In an interstellar burst. I'm back to save the universe. In a deep, deep sleep. Of the innocent. I am born again. In a fast German car. I'm amazed that I survived. An airbag saved my life. In an interstellar burst. I am back to save the universe. In an interstellar burst. I am back to save the universe. In an interstellar burst. I am back to save the universe"
Present Tense,"This dance, this dance. Is like a weapon, is like a weapon. Of self-defence, of self-defence. Against the present, against the present. The present tense. No, I won't get heavy, don't get heavy. Keep it light and keep it moving. I am doing no harm. As my world comes crashing down. I'll be dancing, freaking out. Deaf, dumb, and blind. In you, I'm lost. In you, I'm lost. I won't turn around or the penny drops. Won't stop now, won't slack off. Or all this love will be in vain. To stop from falling down a mine. It's no one's business but mine. Where all this love has been in vain. In you, I'm lost. In you, I'm lost. In you, I'm lost. In you, I'm lost"
Motion Picture Soundtrack,"Red wine and sleeping pills. Help me get back to your arms. Cheap sex and sad films. Help me get where I belong. I think you're crazy, maybe. I think you're crazy, maybe. Stop sending letters. Letters always get burned. It's not like the movies. They fed us on little white lies. I think you're crazy, maybe. I think you're crazy, maybe. I will see you in the next life"
Identikit,"A moon shaped pool. Dancing clothes won't let me in. And now I know it's never gonna be, oh, me. A moon shaped pool. Dancing clothes won't let me in. And now I know it's never gonna be, oh, me. A moon shaped pool. Dancing clothes won't let me in. And now I know it's never gonna be, oh, me. The sweet-faced ones with nothing left inside. That we all can love, that we all can love, that we all. Sweet-faced ones with nothing left inside. That we all can love, that we all can love, that we all. But now I see you messing me around. I don’t want to know, I don’t want to know, I don’t want. When I see you messing me around. I don’t want to know, I don’t want to know, I don’t want to know. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. Broken hearts make it rain. The pieces of a ragdoll mankind. That we can create, that we can create, that we can. Pieces of a ragdoll mankind. That we can create, that we can create. But when I see you messing me around. I don’t want to know, I don’t want to know, I don’t want. When I see you messing me around. I don’t want to know, I don’t want to know, I don’t want to know"
Street Spirit (Fade Out),"Rows of houses all bearing down on me. I can feel their blue hands touching me. All these things into position. All these things we'll one day swallow. And fade out again. And fade out. This machine will, will not communicate. These thoughts and the strain I am under. Be a world child, form a circle. Before we all go under. And fade out again. And fade out again. Cracked eggs, dead birds, scream as they fight for life. I can feel death, can see its beady eyes. All these things into position. All these things we'll one day swallow. And fade out again. And fade out again. Immerse your soul in love. Immerse your soul in love"
Videotape,"When I'm at the pearly gates. This'll be on my videotape, my videotape. When Mephistopheles is just beneath. And he's reaching up to grab me. This is one for the good days. And I have it all here in red, blue, green, in red, blue, green. And you are my centre when I spin away. Out of control on videotape. On videotape, on videotape, on videotape. On videotape, on videotape, on videotape.... This is my way of saying goodbye. Because I can't do it face to face. So I'm talking to you before-. No matter what happens now. You shouldn't be afraid. Because I know today has been. The most perfect day I've ever seen"
Kid A,"I slip away. I slipped on a little white lie. We've got heads on sticks. And you've got ventriloquists. We've got heads on sticks. And you've got ventriloquists. Standing in the shadows at the end of my bed. Standing in the shadows at the end of my bed. Standing in the shadows at the end of my bed. Standing in the shadows at the end of my bed. The rats and the children will follow me out of town. Rats and children follow me out of town. Come on, kids"
2 + 2 = 5,"We're on, that's a nice way to start, Jonny. Are you such a dreamer. To put the world to rights?. I'll stay home forever. Where two and two always makes a five. I'll lay down the tracks. Sandbag and hide. January has April showers. And two and two always makes a five. It's the devil's way now. There is no way out. You can scream and you can shout. It is too late now. Because. You have not been. Paying attention. Paying attention. Paying attention. Paying attention. You have not been. Paying attention. Paying attention. Paying attention. Paying attention. You have not been. Paying attention. Paying attention. Paying attention. Paying attention. You have not been. Paying attention. Paying attention. Paying attention. Paying attention. I try to sing along. But I get it all wrong. 'Cause I'm not, 'cause I'm not. I swat 'em like flies. But like flies, the bugs keep coming back. Not, but I'm not. All hail to the thief. All hail to the thief. But I'm not, but I'm not. But I'm not, but I'm not. Don't question my authority or put me in a box. 'Cause I'm not, cause I'm not. Oh, go and tell the king. That the sky is falling in. But it's not, but it's not, but it's not. Maybe not, maybe not"
Climbing up the Walls,I am the key to the lock in your house. That keeps your toys in the basement. And if you get too far inside. You'll only see my reflection. It's always best with the covers up. I am the pick in the ice. Do not cry out or hit the alarm. You know we're friends 'til we die. And either way you turn. I'll be there. Open up your skull. I'll be there. Climbing up the walls. It's always best when the light is off. It's always better on the outside. Fifteen blows to the back of your head. Fifteen blows to your mind. So lock the kids up safe tonight. Shut the eyes in the cupboard. I've got the smell of a local man. Who's got the loneliest feeling. That either way he turns. I will be there. Open up your skull. I'll be there. Climbing up the walls. Climbing up the walls. Climbing up the walls. *scream*
Pyramid Song,I jumped in the river and what did I see?. Black-eyed angels swam with me. A moon full of stars and astral cars. And all the figures I used to see. All my lovers were there with me. All my past and futures. And we all went to heaven in a little row boat. There was nothing to fear and nothing to doubt. I jumped into the river. Black-eyed angels swam with me. A moon full of stars and astral cars. And all the figures I used to see. All my lovers were there with me. All my past and futures. And we all went to heaven in a little row boat. There was nothing to fear and nothing to doubt. There was nothing to fear and nothing to doubt. There was nothing to fear and nothing to doubt
Lucky,"I'm on a roll. I'm on a roll this time. I feel my luck could change. Kill me, Sarah. Kill me again with love. It's gonna be a glorious day. Pull me out of the aircrash. Pull me out of the lake. 'Cause I'm your superhero. We are standing on the edge. The head of state. Has called for me by name. But I don't have time for him. It's gonna be a glorious day. I feel my luck could change. Pull me out of the aircrash. Pull me out of the lake. 'Cause I'm your superhero. We are standing on the edge. We are standing on the edge"
House of Cards,"I don't wanna be your friend. I just wanna be your lover. No matter how it ends. No matter how it starts. Forget about your house of cards. And I'll do mine. Forget about your house of cards. And I'll do mine. And fall off the table. Get swept under. Denial, denial. The infrastructure will collapse. From voltage spikes. Throw your keys in the bowl. Kiss your husband 'good night'. And forget about your house of cards. And I'll do mine. Forget about your house of cards. And I'll do mine. Fall off the table. Get swept under. Denial, denial. Denial, denial. (Your ears should be burning). Denial, denial. (Your ears should be burning). Denial, denial"
Subterranean Homesick Alien,"The breath of the morning I keep forgetting. The smell of the warm summer air. I live in a town where you can't smell a thing. You watch your feet for cracks in the pavement. Up above aliens hover. Making home movies for the folks back home. Of all these weird creatures who lock up their spirits. Drill holes in themselves and live for their secrets. They're all uptight, uptight. Uptight, uptight. Uptight, uptight. I wish that they'd swoop down in a country lane. Late at night when I'm driving. Take me on board their beautiful ship. Show me the world as I'd love to see it. I'd tell all my friends but they'd never believe me. They'd think that I'd finally lost it completely. I'd show them the stars and the meaning of life. They'd shut me away but I'd be alright, alright. Mom, I'm alright, alright. I'm just uptight, uptight. Uptight, uptight. Uptight, uptight. Uptight, uptight. Uptight"
15 Step,"How come I end up where I started?. How come I end up where I went wrong?. Won't take my eyes off the ball again. You reel me out, then you cut the string. How come I end up where I started?. How come I end up where I went wrong?. Won't take my eyes off the ball again. First you reel me out and then you cut the string. You used to be alright. What happened?. Did the cat get your tongue?. Did your string come undone?. One by one. One by one. It comes to us all. It's as soft as your pillow. You used to be alright. What happened?. Et cetera, et cetera. Fads for whatever. Fifteen steps, then a sheer drop. How come I end up where I started?. How come I end up where I went wrong?. Won't take my eyes off the ball again. You reel me out, then you cut the string"
Ful Stop,"You really messed up everything. You really messed up everything. If you could take it all back again. Strike up the tinderbox. Why should I be good if you're not?. This is a foul tasting medicine. A foul tasting medicine. To be trapped in your full stop. Truth will mess you up, truth will mess you up. Truth will mess you up, truth will mess you up. Truth will mess you up, truth will mess you up. Truth will mess you up, truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). Truth will mess you up. Truth will mess you up (All the good times). When you take me back. Take me back again. Will you take me back. Take me back again. You really messed up. You really messed up. You really messed up. You really messed up this time. You really messed up. You really messed up. You really messed up. You really messed up this time. You really messed up. You really messed up. You really messed up. You really messed up this time"
The Numbers,It holds us like a phantom. It touches  like a breeze. It shines its understanding. See the moon is smiling. Open on all channels. Ready to receive. Cause we're not at the mercy. Of your chimeras and spells. Your chimeras and spells. Mmmhm. We are of the earth. To her we do return. The future is inside us. It's not somewhere else. It's not somewhere else. It's not somewhere else. (One day at a time). One day at a time. We call upon the people. The people have this power. The numbers don't decide. The system is a lie. A river running dry. The wings of butterflies. And you may pour us away like soup. Like we're pretty broken flowers. We'll take back what is ours. Take back what is ours. One day at a time
I Promise,I won't run away no more. I promise. Even when I get bored. I promise. Even when you lock me out. I promise. I say my prayers every night. I promise. I know which side I'm spread. I promise. The tantrums and the chitty chats. I promise. Even when the ship is wrecked. I promise. Tie me to the rotting deck. I promise. I won't run away no more. I promise. Even when I get bored. I promise. Even when the ship is wrecked. I promise. Tie me to the rotting deck. I promise. I won't run away no more. I promise
My Iron Lung,"Faith, you're driving me away. You do it every day. You don't mean it, but it hurts like hell. My brain says I'm receiving pain. A lack of oxygen. From my life support, my iron lung. We're too young to fall asleep. Too cynical to speak. We are losing it, can't you tell?. We scratch our eternal itch. Our twentieth century bitch. We are grateful for our iron lung. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon. Suck, suck your teenage thumb. Toilet trained and dumb. When the power runs out, we'll just hum. This, this is our new song. Just like the last one. A total waste of time, my iron lung. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon. And if you're frightened. You can be frightened. You can be, it's okay. And if you're frightened. You can be frightened. You can be, it's okay. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon. The headshrinkers, they want my everything. My uncle Bill, my Belisha beacon"
Bodysnatchers,"I do not understand. What it is I've done wrong. Full of holes, check for pulse. Blink your eyes. One for yes, two for no. I've no idea what I am talking about. I'm trapped in this body and can't get out. You killed the sound, removed backbone. A pale imitation with the edges all sawn off. I have no idea what you are talking about. Your mouth moves only with someone's hand up your arse. Has the light gone out for you?. Because the light's gone out for me. It is the twenty-first century. It is the twenty-first century. It can follow you like a dog. It brought me to my knees. They got a skin and they put me in. They got a skin and they put me in. All the lines wrapped 'round my face. All the lines wrapped 'round my face. And for anyone else to see. And for anyone else to see. I'm a lie. I've seen it coming. They've seen it coming. They've seen it coming. They've seen it coming"
Desert Island Disk,"Now as I go upon my way. So let me go upon my way. Born of a light, born of a light. The wind rushing 'round my open heart. An open ravine with my spirit wide. Totally alive and my spirit light. Through an open doorway. Across a street to another life. And catching my reflection in a window. Switching on a light, one I didn’t know. Totally alive, totally released. Waking, waking up from shutdown. From a thousand years of sleep. Yeah, you, you know what I mean. You know what I mean. You know what I mean. Standing on the edge of. You, you know what I mean. You know what I mean. You know what I mean. Different types of love. Different types of love. Different types of love. Are possible. Are possible. Are possible. Are possible"
"There, There","In pitch dark. I go walking in your landscape. Broken branches. Trip me as I speak. Just 'cause you feel it. Doesn't mean it's there. Just 'cause you feel it. Doesn't mean it's there. There's always a siren. Singing you to shipwreck. (Don't reach out, don't reach out). (Don't reach out, don't reach out). Steer away from these rocks. We'd be a walking disaster. (Don't reach out, don't reach out). (Don't reach out, don't reach out). Just 'cause you feel it. Doesn't mean it's there. (Someone on your shoulder). (Someone on your shoulder). Just 'cause you feel it. Doesn't mean it's there. (Someone on your shoulder). (Someone on your shoulder). There, there. Why so greedy and lonely, and lonely. And lonely. Heaven sent you to me, to me. To me. We are accidents waiting, waiting to happen. We are accidents waiting, waiting to happen"
Just,"Can't get the stink off. He's been hanging 'round for days. Comes like a comet. Suckered you but not your friends. One day he'll get to you. And teach you how to be a holy cow. You do it to yourself, you do. And that's why it really hurts. Is that you do it to yourself, just you. You and no one else. You do it to yourself. You do it to yourself. Don't get my sympathy. Hanging out the fifteenth floor. You've changed the locks three times. He still comes reeling through the door. One day I'll get to you. And teach you how to get to purest hell. You do it to yourself, you do. And that's why it really hurts. Is that you do it to yourself, just you. You and no one else. You do it to yourself. You do it to yourself. You do it to yourself, you do. And that's why it really hurts. Is that you do it to yourself, just you. You and no one else. You do it to yourself. You do it to yourself. Self"
Glass Eyes,"Hey, it's me, I just got off the train. A frightening place, the faces are concrete grey. And I'm wondering, should I turn around?. Buy another ticket? The panic is coming on strong. So cold, from the inside out. No great drama, message coming in. In the oh-so-smug glassy eyed light of day. Glassy eyed light of day. Where the path trails off and heads down the mountain. Through the dry bush, I don't know where it leads. And I don't really care. Where the path trails off and heads down the mountain. Through the dry bush, I don't know where it leads. And I don't really care. I feel this love to the core. I feel this love turn cold"
Optimistic,"Flies are buzzing 'round my head. Vultures circling the dead. Picking up every last crumb. The big fish eat the little ones. The big fish eat the little ones. Not my problem, give me some. You can try the best you can. You can try the best you can. The best you can is good enough. You can try the best you can. You can try the best you can. The best you can is good enough. This one's optimistic. This one went to market. This one just came out of the swamp. This one drops a payload. Fodder for the animals. Living on an animal farm. You can try the best you can. You can try the best you can. The best you can is good enough. You can try the best you can. You can try the best you can. The best you can is good enough. I'd really like to help you, man. I'd really like to help you, man. Nervous messed up marionette. Float around on a prison ship. You can try the best you can. You can try the best you can. The best you can is good enough. You can try the best you can. You can try the best you can. Dinosaurs roaming the earth. Dinosaurs roaming the earth. Dinosaurs roaming the earth"
The Tourist,"It barks at no one else but me. Like it's seen a ghost. I guess it's seen the sparks a-flowin. No one else would know. Hey man, slow down, slow down. Idiot, slow down, slow down. Sometimes I get overcharged. That's when you see sparks. They ask me where the hell I'm going. At a thousand feet per second. Hey man, slow down, slow down. Idiot, slow down, slow down. Hey man, slow down, slow down. Idiot, slow down, slow down"
